,DEPTH,VP_FRMB,VS_FRMB,RHO_FRMB,PHIE,VSH,VP_FRMO,VS_FRMO,RHO_FRMO
15793,2000.25,2341.4187,936.9106,2.2423,0.2481,0.9257,2341.4187,936.9106,2.2423
15794,2000.375,2348.2983,948.0179,2.2415,0.2486,0.8986,2348.2983,948.0179,2.2415
15795,2000.5,2345.4053,952.6637,2.2373,0.2513,0.8775,2345.4053,952.6637,2.2373
15796,2000.625,2342.4395,951.3004,2.237,0.2515,0.8796,2342.4395,951.3004,2.237
15797,2000.75,2337.1323,948.0374,2.2398,0.2497,0.9024,2337.1323,948.0374,2.2398
15798,2000.875,2327.6982,941.5582,2.2414,0.2487,0.9323,2327.6982,941.5582,2.2414
15799,2001.0,2315.6064,932.5011,2.2378,0.2509,0.9233,2315.6064,932.5011,2.2378
15800,2001.125,2303.967,923.5356,2.2302,0.2557,0.9009,2303.967,923.5356,2.2302
15801,2001.25,2295.5327,916.6923,2.222,0.2608,0.8611,2295.5327,916.6923,2.222
15802,2001.375,2290.7305,912.5624,2.2182,0.2632,0.8444,2290.7305,912.5624,2.2182
15803,2001.5,2287.8572,909.5701,2.2194,0.2624,0.8679,2287.8572,909.5701,2.2194
15804,2001.625,2288.092,907.0142,2.2208,0.2616,0.8745,2288.092,907.0142,2.2208
15805,2001.75,2296.8809,908.2411,2.2221,0.2608,0.8706,2296.8809,908.2411,2.2221
15806,2001.875,2318.7046,917.9429,2.2239,0.2596,0.8518,2318.7046,917.9429,2.2239
15807,2002.0,2336.8821,935.9988,2.2221,0.2607,0.8161,2336.8821,935.9988,2.2221
15808,2002.125,2335.7754,948.6848,2.2212,0.2613,0.8017,2335.7754,948.6848,2.2212
15809,2002.25,2333.772,947.3871,2.2288,0.2566,0.8486,2333.772,947.3871,2.2288
15810,2002.375,2329.5671,942.1895,2.2403,0.2494,0.9185,2329.5671,942.1895,2.2403
15811,2002.5,2318.4651,933.3368,2.2475,0.2449,0.9723,2318.4651,933.3368,2.2475
15812,2002.625,2306.7766,921.479,2.249,0.244,0.99,2306.7766,921.479,2.249
15813,2002.75,2303.0049,912.8273,2.2466,0.2455,0.9796,2303.0049,912.8273,2.2466
15814,2002.875,2304.5278,911.4762,2.2433,0.2475,0.9591,2304.5278,911.4762,2.2433
15815,2003.0,2312.3523,915.1161,2.2413,0.2488,0.9408,2312.3523,915.1161,2.2413
15816,2003.125,2321.5813,922.9478,2.2398,0.2497,0.9178,2321.5813,922.9478,2.2398
15817,2003.25,2330.5659,931.3081,2.2408,0.2491,0.9138,2330.5659,931.3081,2.2408
15818,2003.375,2346.5906,939.9327,2.2455,0.2462,0.9223,2346.5906,939.9327,2.2455
15819,2003.5,2357.7131,951.6178,2.2471,0.2452,0.9156,2357.7131,951.6178,2.2471
15820,2003.625,2348.1614,956.9313,2.2442,0.247,0.9124,2348.1614,956.9313,2.2442
15821,2003.75,2341.5193,950.1235,2.2427,0.2479,0.9191,2341.5193,950.1235,2.2427
15822,2003.875,2344.4385,946.7814,2.2426,0.2479,0.9021,2344.4385,946.7814,2.2426
15823,2004.0,2340.2563,948.0081,2.2422,0.2482,0.9154,2340.2563,948.0081,2.2422
15824,2004.125,2319.4858,941.2666,2.2396,0.2498,0.922,2319.4858,941.2666,2.2396
15825,2004.25,2290.51,922.4376,2.2374,0.2512,0.9402,2290.51,922.4376,2.2374
15826,2004.375,2266.437,898.8839,2.2365,0.2518,0.9889,2266.437,898.8839,2.2365
15827,2004.5,2250.2808,880.0997,2.2312,0.255,0.9702,2250.2808,880.0997,2.2312
15828,2004.625,2243.064,869.8074,2.2255,0.2586,0.9349,2243.064,869.8074,2.2255
15829,2004.75,2247.948,867.4691,2.2277,0.2572,0.944,2247.948,867.4691,2.2277
15830,2004.875,2262.3818,872.4089,2.2357,0.2522,0.9773,2262.3818,872.4089,2.2357
15831,2005.0,2278.4243,882.579,2.2427,0.2479,0.9897,2278.4243,882.579,2.2427
15832,2005.125,2292.4131,894.0901,2.2468,0.2453,0.9896,2292.4131,894.0901,2.2468
15833,2005.25,2302.5532,904.3598,2.2492,0.2438,0.99,2302.5532,904.3598,2.2492
15834,2005.375,2307.885,911.5486,2.2504,0.2431,0.99,2307.885,911.5486,2.2504
15835,2005.5,2310.0117,915.2814,2.25,0.2433,0.99,2310.0117,915.2814,2.25
15836,2005.625,2311.7957,917.6078,2.2441,0.247,0.969,2311.7957,917.6078,2.2441
15837,2005.75,2312.4192,921.5188,2.2298,0.2559,0.8899,2312.4192,921.5188,2.2298
15838,2005.875,2315.4666,927.6788,2.2142,0.2657,0.794,2315.4666,927.6788,2.2142
15839,2006.0,2321.394,936.0237,2.2059,0.2709,0.7496,2321.394,936.0237,2.2059
15840,2006.125,2322.7595,942.6918,2.2057,0.2709,0.7462,2322.7595,942.6918,2.2057
15841,2006.25,2317.8069,941.9991,2.2137,0.266,0.7944,2317.8069,941.9991,2.2137
15842,2006.375,2316.1223,935.1254,2.2268,0.2578,0.8714,2316.1223,935.1254,2.2268
15843,2006.5,2314.53,929.2148,2.2378,0.2509,0.9258,2314.53,929.2148,2.2378
15844,2006.625,2310.5969,924.0166,2.2432,0.2476,0.9601,2310.5969,924.0166,2.2432
15845,2006.75,2307.9368,919.4333,2.2436,0.2473,0.9613,2307.9368,919.4333,2.2436
15846,2006.875,2307.0034,917.8029,2.2389,0.2502,0.9408,2307.0034,917.8029,2.2389
15847,2007.0,2297.1252,917.2188,2.2284,0.2568,0.8992,2297.1252,917.2188,2.2284
15848,2007.125,2283.3372,911.6466,2.2159,0.2646,0.8479,2283.3372,911.6466,2.2159
15849,2007.25,2275.3257,904.822,2.2083,0.2693,0.8155,2275.3257,904.822,2.2083
15850,2007.375,2272.251,900.9373,2.2084,0.2693,0.8206,2272.251,900.9373,2.2084
15851,2007.5,2271.9685,898.2924,2.215,0.2652,0.8581,2271.9685,898.2924,2.215
15852,2007.625,2279.2456,897.0836,2.2239,0.2596,0.9032,2279.2456,897.0836,2.2239
15853,2007.75,2288.7478,901.0626,2.2287,0.2566,0.913,2288.7478,901.0626,2.2287
15854,2007.875,2296.6899,907.7209,2.2296,0.256,0.8998,2296.6899,907.7209,2.2296
15855,2008.0,2307.6106,914.8681,2.2323,0.2544,0.9016,2307.6106,914.8681,2.2323
15856,2008.125,2324.5647,924.5114,2.2382,0.2507,0.9071,2324.5647,924.5114,2.2382
15857,2008.25,2335.5483,936.0452,2.245,0.2465,0.9301,2335.5483,936.0452,2.245
15858,2008.375,2329.0925,939.9364,2.2501,0.2433,0.9681,2329.0925,939.9364,2.2501
15859,2008.5,2316.3982,932.0001,2.2484,0.2443,0.9868,2316.3982,932.0001,2.2484
15860,2008.625,2297.521,921.2748,2.2343,0.2531,0.9327,2297.521,921.2748,2.2343
15861,2008.75,2274.8569,909.3107,2.2162,0.2644,0.8413,2274.8569,909.3107,2.2162
15862,2008.875,2260.3474,896.5627,2.2116,0.2673,0.8384,2260.3474,896.5627,2.2116
15863,2009.0,2258.8684,887.0541,2.221,0.2614,0.9061,2258.8684,887.0541,2.221
15864,2009.125,2257.2075,882.1005,2.232,0.2545,0.9728,2257.2075,882.1005,2.232
15865,2009.25,2259.3591,878.1409,2.2377,0.251,0.99,2259.3591,878.1409,2.2377
15866,2009.375,2263.426,878.9,2.2395,0.2498,0.99,2263.426,878.9,2.2395
15867,2009.5,2270.0776,882.4429,2.2413,0.2487,0.99,2270.0776,882.4429,2.2413
15868,2009.625,2277.8455,887.9211,2.243,0.2477,0.99,2277.8455,887.9211,2.243
15869,2009.75,2275.8794,892.3814,2.2416,0.2486,0.99,2275.8794,892.3814,2.2416
15870,2009.875,2263.5808,889.4347,2.2357,0.2523,0.9739,2263.5808,889.4347,2.2357
15871,2010.0,2253.9666,881.3277,2.2305,0.2555,0.9476,2253.9666,881.3277,2.2305
15872,2010.125,2250.7561,875.6013,2.2315,0.2549,0.9629,2250.7561,875.6013,2.2315
15873,2010.25,2250.8325,872.9483,2.2351,0.2526,0.99,2250.8325,872.9483,2.2351
15874,2010.375,2252.6287,872.2847,2.2371,0.2514,0.99,2252.6287,872.2847,2.2371
15875,2010.5,2258.9746,874.2441,2.2385,0.2505,0.99,2258.9746,874.2441,2.2385
15876,2010.625,2268.1853,879.8026,2.2408,0.249,0.99,2268.1853,879.8026,2.2408
15877,2010.75,2281.1941,887.7689,2.2441,0.247,0.99,2281.1941,887.7689,2.2441
15878,2010.875,2293.0002,897.8513,2.2469,0.2452,0.99,2293.0002,897.8513,2.2469
15879,2011.0,2301.0149,906.5355,2.2487,0.2441,0.99,2301.0149,906.5355,2.2487
15880,2011.125,2297.8901,910.8912,2.2474,0.2449,0.99,2297.8901,910.8912,2.2474
15881,2011.25,2277.7673,905.3854,2.2433,0.2475,0.99,2277.7673,905.3854,2.2433
15882,2011.375,2263.4731,890.71,2.2397,0.2498,0.99,2263.4731,890.71,2.2397
15883,2011.5,2251.8318,879.9634,2.2367,0.2516,0.99,2251.8318,879.9634,2.2367
15884,2011.625,2241.8408,871.119,2.2343,0.2531,0.99,2241.8408,871.119,2.2343
15885,2011.75,2234.5637,863.7791,2.2324,0.2543,0.99,2234.5637,863.7791,2.2324
15886,2011.875,2229.9485,858.5848,2.231,0.2552,0.99,2229.9485,858.5848,2.231
15887,2012.0,2236.2058,857.2007,2.2299,0.2558,0.9808,2236.2058,857.2007,2.2299
15888,2012.125,2249.5535,864.3093,2.2291,0.2564,0.9509,2249.5535,864.3093,2.2291
15889,2012.25,2264.8958,876.522,2.23,0.2558,0.9397,2264.8958,876.522,2.23
15890,2012.375,2282.8586,890.0583,2.2311,0.2551,0.9347,2282.8586,890.0583,2.2311
15891,2012.5,2299.5542,905.3199,2.2272,0.2576,0.8923,2299.5542,905.3199,2.2272
15892,2012.625,2302.9407,919.1951,2.2145,0.2655,0.8384,2302.9407,919.1951,2.2145
15893,2012.75,2300.2559,926.0626,2.1948,0.2778,0.7194,2300.2559,926.0626,2.1948
15894,2012.875,2291.7637,929.4395,2.1793,0.2874,0.6445,2291.7637,929.4395,2.1793
15895,2013.0,2278.9324,925.7409,2.1763,0.2893,0.6543,2278.9324,925.7409,2.1763
15896,2013.125,2263.4202,914.0427,2.1835,0.2848,0.716,2263.4202,914.0427,2.1835
15897,2013.25,2262.4883,900.3404,2.1981,0.2757,0.7847,2262.4883,900.3404,2.1981
15898,2013.375,2284.6484,898.8157,2.2171,0.2638,0.856,2284.6484,898.8157,2.2171
15899,2013.5,2293.2212,909.056,2.232,0.2545,0.9269,2293.2212,909.056,2.232
15900,2013.625,2289.5266,909.8484,2.2374,0.2512,0.9595,2289.5266,909.8484,2.2374
15901,2013.75,2281.2495,904.5255,2.2361,0.252,0.9472,2281.2495,904.5255,2.2361
15902,2013.875,2270.3442,897.3307,2.2355,0.2523,0.9569,2270.3442,897.3307,2.2355
15903,2014.0,2262.4314,888.637,2.236,0.2521,0.9868,2262.4314,888.637,2.236
15904,2014.125,2259.6943,882.9978,2.2309,0.2552,0.9601,2259.6943,882.9978,2.2309
15905,2014.25,2255.8059,882.4077,2.2214,0.2612,0.902,2255.8059,882.4077,2.2214
15906,2014.375,2249.7429,881.6575,2.2144,0.2655,0.8806,2249.7429,881.6575,2.2144
15907,2014.5,2243.0784,878.3096,2.2109,0.2677,0.875,2243.0784,878.3096,2.2109
15908,2014.625,2239.1958,874.1546,2.2083,0.2693,0.87,2239.1958,874.1546,2.2083
15909,2014.75,2237.6614,872.2023,2.2047,0.2716,0.8505,2237.6614,872.2023,2.2047
15910,2014.875,2227.064,870.4,2.199,0.2751,0.8339,2227.064,870.4,2.199
15911,2015.0,2205.9363,861.0915,2.1904,0.2805,0.8258,2205.9363,861.0915,2.1904
15912,2015.125,2186.5889,845.7764,2.1824,0.2855,0.7948,2186.5889,845.7764,2.1824
15913,2015.25,2180.8237,833.851,2.1821,0.2857,0.7964,2180.8237,833.851,2.1821
15914,2015.375,2185.9204,830.1988,2.1924,0.2792,0.8455,2185.9204,830.1988,2.1924
15915,2015.5,2196.6301,831.6296,2.2087,0.2691,0.9257,2196.6301,831.6296,2.2087
15916,2015.625,2204.4912,835.0752,2.2209,0.2615,0.9841,2204.4912,835.0752,2.2209
15917,2015.75,2212.3569,838.3099,2.2269,0.2577,0.9898,2212.3569,838.3099,2.2269
15918,2015.875,2234.0046,846.0161,2.2324,0.2543,0.99,2234.0046,846.0161,2.2324
15919,2016.0,2262.6384,864.2047,2.2364,0.2518,0.9854,2262.6384,864.2047,2.2364
15920,2016.125,2275.6931,884.9002,2.2347,0.2529,0.9563,2275.6931,884.9002,2.2347
15921,2016.25,2298.2959,898.9205,2.2313,0.255,0.9076,2298.2959,898.9205,2.2313
15922,2016.375,2330.8982,921.3602,2.2294,0.2561,0.8627,2330.8982,921.3602,2.2294
15923,2016.5,2353.4524,948.5745,2.224,0.2595,0.8145,2353.4524,948.5745,2.224
15924,2016.625,2349.2529,965.2158,2.2125,0.2667,0.7651,2349.2529,965.2158,2.2125
15925,2016.75,2338.1587,964.4585,2.2007,0.2741,0.7033,2338.1587,964.4585,2.2007
15926,2016.875,2326.364,958.6562,2.1931,0.2788,0.6849,2326.364,958.6562,2.1931
15927,2017.0,2297.1538,946.8074,2.1889,0.2814,0.7091,2297.1538,946.8074,2.1889
15928,2017.125,2284.8347,925.7151,2.1899,0.2808,0.7245,2284.8347,925.7151,2.1899
15929,2017.25,2295.3162,918.7385,2.1985,0.2754,0.7392,2295.3162,918.7385,2.1985
15930,2017.375,2349.6794,932.696,2.2199,0.2621,0.7745,2349.6794,932.696,2.2199
15931,2017.5,2450.5024,979.7675,2.2489,0.244,0.8278,2450.5024,979.7675,2.2489
15932,2017.625,2490.1597,1046.1593,2.2704,0.2306,0.8813,2490.1597,1046.1593,2.2704
15933,2017.75,2493.3835,1067.7816,2.2762,0.2269,0.9215,2493.3835,1067.7816,2.2762
15934,2017.875,2455.0447,1061.2865,2.266,0.2334,0.9,2455.0447,1061.2865,2.266
15935,2018.0,2445.7529,1037.918,2.2533,0.2412,0.8426,2445.7529,1037.918,2.2533
15936,2018.125,2458.8318,1038.3127,2.2336,0.2535,0.7775,2458.8318,1038.3127,2.2336
15937,2018.25,2375.592,1037.2001,2.1985,0.2754,0.6512,2375.592,1037.2001,2.1985
15938,2018.375,2325.9883,985.8735,2.1712,0.2925,0.5549,2325.9883,985.8735,2.1712
15939,2018.5,2285.0203,951.9901,2.1662,0.2956,0.5923,2285.0203,951.9901,2.1662
15940,2018.625,2256.0662,918.5804,2.1768,0.289,0.6962,2256.0662,918.5804,2.1768
15941,2018.75,2234.2808,890.1309,2.1885,0.2817,0.7919,2234.2808,890.1309,2.1885
15942,2018.875,2207.1812,865.9233,2.1924,0.2792,0.8402,2207.1812,865.9233,2.1924
15943,2019.0,2217.6914,849.1499,2.1924,0.2793,0.8211,2217.6914,849.1499,2.1924
