% 'Vsh'	'Por'	'Vp_b'	'Vs_b'	'Rhob_b'	'Vp_o'	'Vs_o'	'Rhob_o'	'Z_TVD'  
   3.5730000e-01   3.9660000e-01   2.6606372e+03   1.1423779e+03   2.0033000e+00   2.6606372e+03   1.1423779e+03   2.0033000e+00   2.1541250e+03
   4.5950000e-01   3.4120000e-01   2.7153135e+03   1.1785325e+03   2.0922000e+00   2.7153135e+03   1.1785325e+03   2.0922000e+00   2.1542500e+03
   5.1690000e-01   2.9790000e-01   2.7471143e+03   1.2103721e+03   2.1618000e+00   2.7471143e+03   1.2103721e+03   2.1618000e+00   2.1543750e+03
   4.9170000e-01   2.7640000e-01   2.7305505e+03   1.2160719e+03   2.1963000e+00   2.7305505e+03   1.2160719e+03   2.1963000e+00   2.1545000e+03
   4.5700000e-01   2.7530000e-01   2.6979243e+03   1.2041805e+03   2.1981000e+00   2.6979243e+03   1.2041805e+03   2.1981000e+00   2.1546250e+03
   4.0960000e-01   2.8490000e-01   2.7037131e+03   1.1913666e+03   2.1826000e+00   2.7037131e+03   1.1913666e+03   2.1826000e+00   2.1547500e+03
   3.2300000e-01   2.8850000e-01   2.8314961e+03   1.1757948e+03   2.1769000e+00   2.6708479e+03   1.1880432e+03   2.1322000e+00   2.1548750e+03
   2.9390000e-01   2.9230000e-01   2.8575107e+03   1.1694946e+03   2.1709000e+00   2.7040271e+03   1.1824028e+03   2.1237000e+00   2.1550000e+03
   2.8710000e-01   2.9250000e-01   2.8775942e+03   1.1572466e+03   2.1704000e+00   2.7314897e+03   1.1701459e+03   2.1228000e+00   2.1551250e+03
   2.3000000e-01   2.8960000e-01   2.8786328e+03   1.1208810e+03   2.1752000e+00   2.7294453e+03   1.1340426e+03   2.1250000e+00   2.1552500e+03
   2.5350000e-01   2.8350000e-01   2.8500730e+03   1.0775522e+03   2.1849000e+00   2.6970605e+03   1.0894692e+03   2.1374000e+00   2.1553750e+03
   3.3430000e-01   2.7590000e-01   2.8368523e+03   1.0826313e+03   2.1971000e+00   2.6865413e+03   1.0929460e+03   2.1558000e+00   2.1555000e+03
   4.1280000e-01   2.7480000e-01   2.7512483e+03   1.1717860e+03   2.1989000e+00   2.7512483e+03   1.1717860e+03   2.1989000e+00   2.1556250e+03
   3.9560000e-01   2.7340000e-01   2.7550618e+03   1.2730881e+03   2.2011000e+00   2.7550618e+03   1.2730881e+03   2.2011000e+00   2.1557500e+03
   2.8140000e-01   2.7180000e-01   2.8548743e+03   1.3327319e+03   2.2036000e+00   2.6629834e+03   1.3460533e+03   2.1602000e+00   2.1558750e+03
   1.8380000e-01   2.7840000e-01   2.8529634e+03   1.3497950e+03   2.1932000e+00   2.6457815e+03   1.3655747e+03   2.1428000e+00   2.1560000e+03
   1.0990000e-01   2.8520000e-01   2.8657214e+03   1.3261068e+03   2.1822000e+00   2.6625129e+03   1.3434916e+03   2.1260000e+00   2.1561250e+03
   4.9000000e-02   2.8930000e-01   2.8730752e+03   1.2804742e+03   2.1756000e+00   2.6762761e+03   1.2986515e+03   2.1151000e+00   2.1562500e+03
   1.1600000e-02   2.9120000e-01   2.8696934e+03   1.2596611e+03   2.1725000e+00   2.6721667e+03   1.2783418e+03   2.1095000e+00   2.1563750e+03
   0.0000000e+00   2.9280000e-01   2.8610911e+03   1.2759816e+03   2.1701000e+00   2.6570283e+03   1.2952322e+03   2.1060000e+00   2.1565000e+03
   0.0000000e+00   2.9470000e-01   2.8497361e+03   1.3001587e+03   2.1669000e+00   2.6381201e+03   1.3199379e+03   2.1024000e+00   2.1566250e+03
   0.0000000e+00   2.9740000e-01   2.8417656e+03   1.3262800e+03   2.1627000e+00   2.6239771e+03   1.3466823e+03   2.0976000e+00   2.1567500e+03
   1.0000000e-03   3.0050000e-01   2.8399771e+03   1.3592227e+03   2.1576000e+00   2.6176885e+03   1.3803914e+03   2.0919000e+00   2.1568750e+03
   1.5900000e-02   3.0420000e-01   2.8269827e+03   1.3839034e+03   2.1517000e+00   2.5989414e+03   1.4055031e+03   2.0861000e+00   2.1570000e+03
   3.1900000e-02   3.0800000e-01   2.8098511e+03   1.3718666e+03   2.1456000e+00   2.5817864e+03   1.3933132e+03   2.0800000e+00   2.1571250e+03
   1.8400000e-02   3.1130000e-01   2.7963518e+03   1.3212567e+03   2.1404000e+00   2.5731804e+03   1.3424434e+03   2.0733000e+00   2.1572500e+03
   1.1400000e-02   3.1430000e-01   2.7853855e+03   1.2534907e+03   2.1355000e+00   2.5713179e+03   1.2739634e+03   2.0674000e+00   2.1573750e+03
   3.3200000e-02   3.1780000e-01   2.7749858e+03   1.2027300e+03   2.1299000e+00   2.5700569e+03   1.2222865e+03   2.0623000e+00   2.1575000e+03
   7.3700000e-02   3.2080000e-01   2.7571248e+03   1.1913950e+03   2.1251000e+00   2.5534231e+03   1.2103258e+03   2.0591000e+00   2.1576250e+03
   9.8700000e-02   3.2150000e-01   2.7372385e+03   1.2044165e+03   2.1240000e+00   2.5269248e+03   1.2231869e+03   2.0593000e+00   2.1577500e+03
   9.4000000e-02   3.2050000e-01   2.7169690e+03   1.1949561e+03   2.1255000e+00   2.4989155e+03   1.2135814e+03   2.0608000e+00   2.1578750e+03
   6.9700000e-02   3.1970000e-01   2.6870374e+03   1.1356632e+03   2.1268000e+00   2.4629802e+03   1.1536948e+03   2.0608000e+00   2.1580000e+03
   4.4600000e-02   3.2050000e-01   2.6138687e+03   1.0589299e+03   2.1255000e+00   2.3685210e+03   1.0761686e+03   2.0580000e+00   2.1581250e+03
   2.8800000e-02   3.2280000e-01   2.5137800e+03   1.0043790e+03   2.1219000e+00   2.2313787e+03   1.0211059e+03   2.0529000e+00   2.1582500e+03
   4.2100000e-02   3.2520000e-01   2.4604795e+03   9.7169870e+02   2.1180000e+00   2.1617148e+03   9.8785810e+02   2.0493000e+00   2.1583750e+03
   1.2390000e-01   3.2790000e-01   2.4446023e+03   9.5576030e+02   2.1136000e+00   2.1557678e+03   9.7072760e+02   2.0489000e+00   2.1585000e+03
   2.3990000e-01   3.3220000e-01   2.4602554e+03   9.8540750e+02   2.1068000e+00   2.1957603e+03   9.9950060e+02   2.0478000e+00   2.1586250e+03
   2.9690000e-01   3.3750000e-01   2.5072224e+03   1.0364509e+03   2.0983000e+00   2.2673196e+03   1.0507993e+03   2.0414000e+00   2.1587500e+03
