TWT,DEPTH,VP,VS,RHO,NEAR,FAR,WELL,ID
2.568,2100.8228156485065,2429.4158522836537,1018.3411442307691,2.2555824519230767,-6.083936732945134e-11,-3.298863149619521e-11,W155_X,Z60_Sw025_Por30
2.572,2105.563678603554,2429.4158522836537,1018.3411442307691,2.2555824519230767,-1.942889698391073e-09,-1.0534835438196684e-09,W155_X,Z60_Sw025_Por30
2.576,2110.18373978967,2429.4158522836537,1018.3411442307691,2.2555824519230767,-4.60288026631746e-08,-2.495797171992467e-08,W155_X,Z60_Sw025_Por30
2.58,2114.912341392281,2429.4158522836537,1018.3411442307691,2.2555824519230767,-8.06616024639471e-07,-4.3736744748948706e-07,W155_X,Z60_Sw025_Por30
2.584,2119.8148713595515,2429.4158522836537,1018.3411442307691,2.2555824519230767,-1.0414945237913175e-05,-5.647244631031065e-06,W155_X,Z60_Sw025_Por30
2.588,2124.8001251991545,2429.4158522836537,1018.3411442307691,2.2555824519230767,-9.854121940533395e-05,-5.343152167485891e-05,W155_X,Z60_Sw025_Por30
2.592,2129.3459271166366,2429.4158522836537,1018.3411442307691,2.2555824519230767,-0.0006777261526291987,-0.00036748012488939873,W155_X,Z60_Sw025_Por30
2.596,2133.970657201785,2429.4158522836537,1018.3411442307691,2.2555824519230767,-0.003345766291924116,-0.0018141584326312793,W155_X,Z60_Sw025_Por30
2.6,2138.736286191246,2429.4158522836537,1018.3411442307691,2.2555824519230767,-0.011602513885952015,-0.006291174149470027,W155_X,Z60_Sw025_Por30
2.604,2143.5234121981985,2429.4158522836537,1018.3411442307691,2.2555824519230767,-0.02707708181208712,-0.014681873153842173,W155_X,Z60_Sw025_Por30
2.608,2148.4835547065795,2429.4158522836537,1018.3411442307691,2.2555824519230767,-0.03807782668074755,-0.020646753042815654,W155_X,Z60_Sw025_Por30
2.612,2153.46435124128,2429.4158522836537,1018.3411442307691,2.2555824519230767,-0.018241678508094668,-0.009891095781444753,W155_X,Z60_Sw025_Por30
2.616,2158.6742173764947,3002.4230046875,1499.741676834239,2.122748641304348,0.0379851310350329,0.020596491472734898,W155_X,Z60_Sw025_Por30
2.62,2163.7343057610415,3002.4230046875,1499.741676834239,2.122748641304348,0.08306956686155999,0.04504241139146508,W155_X,Z60_Sw025_Por30
2.624,2168.2425113290215,3002.4230046875,1499.741676834239,2.122748641304348,0.06617688101114386,0.03588290426185179,W155_X,Z60_Sw025_Por30
2.628,2173.906237261421,3002.4230046875,1499.741676834239,2.122748641304348,0.0071580142455100765,0.0038830486872065196,W155_X,Z60_Sw025_Por30
2.632,2179.6992312619195,3002.4230046875,1499.741676834239,2.122748641304348,-0.033413044781489085,-0.018100419551197375,W155_X,Z60_Sw025_Por30
2.636,2185.31904662607,3002.4230046875,1499.741676834239,2.122748641304348,-0.03416394031310484,-0.018407821239227566,W155_X,Z60_Sw025_Por30
2.64,2190.9396441526546,3002.4230046875,1499.741676834239,2.122748641304348,-0.01625795282956861,-0.008239230423135915,W155_X,Z60_Sw025_Por30
2.644,2196.7416995219774,3002.4230046875,1499.741676834239,2.122748641304348,0.0019559550628024435,0.003058862648723339,W155_X,Z60_Sw025_Por30
2.648,2202.047056621926,3002.4230046875,1499.741676834239,2.122748641304348,0.018219494129189367,0.014542538126244897,W155_X,Z60_Sw025_Por30
2.652,2207.3000863207308,3002.4230046875,1499.741676834239,2.122748641304348,0.027562059675309666,0.021502963963085278,W155_X,Z60_Sw025_Por30
2.656,2212.902328983384,3002.4230046875,1499.741676834239,2.122748641304348,0.01329956517370223,0.010353112440730734,W155_X,Z60_Sw025_Por30
2.66,2218.4659747271626,2672.7611458333336,1176.6415925694444,2.1408248611111107,-0.027766430897201107,-0.02159781400146287,W155_X,Z60_Sw025_Por30
2.664,2223.8308556801508,2672.7611458333336,1176.6415925694444,2.1408248611111107,-0.0607159134077934,-0.04722871278358412,W155_X,Z60_Sw025_Por30
2.668,2229.8176726161096,2672.7611458333336,1176.6415925694444,2.1408248611111107,-0.04836841375674924,-0.037624074701466795,W155_X,Z60_Sw025_Por30
2.672,2234.9714987224233,2672.7611458333336,1176.6415925694444,2.1408248611111107,-0.005226245612746096,-0.004065311390093726,W155_X,Z60_Sw025_Por30
2.676,2240.2660731688734,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.02447431393841544,0.01903770252313674,W155_X,Z60_Sw025_Por30
2.68,2245.8935731597676,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.025332556342814002,0.019705298908980776,W155_X,Z60_Sw025_Por30
2.684,2251.1990907424297,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.013670344368353977,0.010633677009186824,W155_X,Z60_Sw025_Por30
2.688,2257.4089114069934,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.004768661776609271,0.0037093732046649653,W155_X,Z60_Sw025_Por30
